BIOL 1902,,,,COMP 2404,,,,COMP 2406,,
TEST 1 ONLINE,2/7/2024,10.00%,,TUTORIAL 1 ⭐,1/20/2024,1.00%,,TUTORIAL 1 ⭐,1/19/2024,3.33%
MIDTERM,2/28/2024,30.00%,,TUTORIAL 2 ⭐,1/27/2024,1.00%,,TUTORIAL 2 ⭐,1/29/2024,3.33%
TEST 2 ONLINE,3/20/2024,10.00%,,TUTORIAL 3 ⭐,1/27/2024,1.00%,,QUIZ 1 ⭐,1/31/2024,5.00%
FINAL,N/A,50.00%,,ASSIGNMENT 1 ⭐,1/28/2024,7.00%,,TUTORIAL 3,2/5/2024,3.33%
,,,,TUTORIAL 4,2/5/2024,1.00%,,ASSIGNEMNT 1,2/7/2024,10.00%
ERTH 2415,,,,TUTORIAL 5,2/10/2024,1.00%,,TUTORIAL 4,2/9/2024,3.33%
QUIZ 1 ⭐,1/24/2024,5.00%,,ASSIGNMENT 2,2/11/2024,7.00%,,QUIZ 2,2/14/2024,5.00%
ASSIGNEMNT 1 ⭐,1/30/2024,7.50%,,MIDTERM,2/29/2024,12.00%,,TUTORIAL 5,2/16/2024,3.33%
QUIZ 2,2/7/2024,5.00%,,TUTORIAL 6,3/9/2024,1.00%,,ASSIGNEMNT 2,2/28/2024,10.00%
MIDTERM,2/13/2024,30.00%,,ASSIGNMENT 3,3/10/2024,7.00%,,TUTORIAL 6,3/1/2024,3.33%
ASSIGNEMNT 2,3/20/2024,7.50%,,TUTORIAL 7,3/16/2024,1.00%,,QUIZ 3,3/6/2024,5.00%
QUIZ 3,3/13/2024,5.00%,,TUTORIAL 8,3/23/2024,1.00%,,TUTORIAL 7,3/8/2024,3.33%
FINAL,N/A,35.00%,,ASSIGNMENT 4,3/24/2024,7.00%,,ASSIGNMENT 3,3/13/2024,10.00%
,,,,TUTORIAL 9,3/30/2024,1.00%,,TUTORIAL 8,3/15/2024,3.33%
,,,,ASSIGNMENT 5,4/7/2024,7.00%,,QUIZ 4,3/20/2024,5.00%
,,,,FINAL,,45.00%,,TUTORIAL 9,3/22/2024,3.33%
,,,,,,,,ASSIGNMENT 4,3/27/2024,10.00%
,,,,COMP 2804,,,,TUTORIAL 10,3/29/2024,3.33%
,,,,ASSIGNMENT 1 ⭐,1/28/2024,6.50%,,QUIZ 5,4/3/2024,5.00%
,,,,ASSIGNMENT 2,2/11/2024,6.50%,,TUTORIAL 11,4/5/2024,3.33%
,,,,MIDTERM,2/16/2024,25.00%,,ASSIGNMENT 5,4/10/2024,10.00%
,,,,ASSIGNMENT 3,3/10/2024,6.50%,,FINAL PROJECT,4/10/2024,15.00%
,,,,ASSIGNMENT 4,4/1/2024,6.50%,,,,
,,,,FINAL,,50.00%,,,,
